2020-02-25 11:28:51,326 【INFO】 [cm.py:24] ack {'type': 'register', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 11:28:56,334 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:44:53,927 【INFO】 [cm.py:24] ack {'type': 'register', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:44:58,937 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:03,948 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:08,959 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:13,969 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:18,979 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:23,990 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:28,999 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:34,008 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:39,017 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:44,026 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:49,036 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:54,047 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:45:59,056 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:46:04,066 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:46:09,075 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:46:14,085 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:46:19,096 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
2020-02-25 12:46:24,107 【INFO】 [cm.py:28] ack {'type': 'heartbeat', 'payload': {'id': '8ea11189870b436f86bcc401a0d37f83', 'hostname': 'quyixiaodeMacBook-Pro.local', 'ip': ['172.16.11.24', '172.222.220.38']}}
